0.2476094024 0.2015064129
0.2476519130 0.2015153367
0.2476944236 0.2015242648
0.2477369342 0.2015331972
0.2477794449 0.2015421338
0.2478219555 0.2015510745
0.2478644661 0.2015600195
0.2479069767 0.2015689685
0.2479494874 0.2015779217
0.2479919980 0.2015868791
0.2480345086 0.2015958405
0.2480770193 0.2016048059
0.2481195299 0.2016137754
0.2481620405 0.2016227490
0.2482045511 0.2016317265
0.2482470618 0.2016407080
0.2482895724 0.2016496935
0.2483320830 0.2016586829
0.2483745936 0.2016676762
0.2484171043 0.2016766734
0.2484596149 0.2016856745
0.2485021255 0.2016946794
0.2485446362 0.2017036882
0.2485871468 0.2017127008
0.2486296574 0.2017217171
0.2486721680 0.2017307373
0.2487146787 0.2017397611
0.2487571893 0.2017487887
0.2487996999 0.2017578200
0.2488422106 0.2017668550
0.2488847212 0.2017758937
0.2489272318 0.2017849360
0.2489697424 0.2017939819
0.2490122531 0.2018030314
0.2490547637 0.2018120845
0.2490972743 0.2018211411
0.2491397849 0.2018302013
0.2491822956 0.2018392650
0.2492248062 0.2018483322
0.2492673168 0.2018574029
0.2493098275 0.2018664770
0.2493523381 0.2018755546
0.2493948487 0.2018846356
0.2494373593 0.2018937199
0.2494798700 0.2019028077
0.2495223806 0.2019118988
0.2495648912 0.2019209932
0.2496074019 0.2019300910
0.2496499125 0.2019391920
0.2496924231 0.2019482963
0.2497349337 0.2019574039
0.2497774444 0.2019665146
0.2498199550 0.2019756286
0.2498624656 0.2019847458
0.2499049762 0.2019938662
0.2499474869 0.2020029897
0.2499899975 0.2020121163
0.2500325081 0.2020212461
0.2500750188 0.2020303789
0.2501175294 0.2020395148
0.2501600400 0.2020486538
0.2502025506 0.2020577957
0.2502450613 0.2020669407
0.2502875719 0.2020760887
0.2503300825 0.2020852397
0.2503725931 0.2020943936
0.2504151038 0.2021035504
0.2504576144 0.2021127101
0.2505001250 0.2021218728
0.2505426357 0.2021310383
0.2505851463 0.2021402066
0.2506276569 0.2021493778
0.2506701675 0.2021585518
0.2507126782 0.2021677286
0.2507551888 0.2021769082
0.2507976994 0.2021860905
0.2508402101 0.2021952755
0.2508827207 0.2022044633
0.2509252313 0.2022136537
0.2509677419 0.2022228468
0.2510102526 0.2022320426
0.2510527632 0.2022412410
0.2510952738 0.2022504421
0.2511377844 0.2022596457
0.2511802951 0.2022688519
0.2512228057 0.2022780607
0.2512653163 0.2022872720
0.2513078270 0.2022964858
0.2513503376 0.2023057021
0.2513928482 0.2023149209
0.2514353588 0.2023241422
0.2514778695 0.2023333659
0.2515203801 0.2023425920
0.2515628907 0.2023518205
0.2516054014 0.2023610515
0.2516479120 0.2023702848
